label,text
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
0,ok lar joking wif u oni
1,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply over
0,u dun say early hor u c already say
0,nah dont think go usf life around though
1,freemsg hey darling week word back id like fun still tb ok xxx std chgs send rcv
0,even brother like speak treat like aid patent
0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
1,winner valued network customer selected receivea prize reward claim call claim code kl valid hour
1,mobile month u r entitled update latest colour mobile camera free call mobile update co free
0,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
1,six chance win cash pound txt csh send cost pday day tsandcs apply reply hl info
1,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw
0,ive searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
0,date sunday
1,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
0,oh kim watching
0,eh u remember spell name yes v naughty make v wet
0,fine thats way u feel thats way gota b
1,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txt poboxoxwwq
0,seriously spell name
0,im going try month ha ha joking
0,pay first lar da stock comin
0,aft finish lunch go str lor ard smth lor u finish ur lunch already
0,ffffffffff alright way meet sooner
0,forced eat slice im really hungry tho suck mark getting worried know im sick turn pizza lol
0,lol always convincing
0,catch bus frying egg make tea eating mom left dinner feel love
0,im back amp packing car ill let know there room
0,ahhh work vaguely remember feel like lol
0,wait thats still clear sure sarcastic thats x doesnt want live u
0,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheer
0,k tell anything
0,fear fainting housework quick cuppa
1,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
0,yup ok go home look timing msg xuhui going learn nd may lesson
0,oops ill let know roommate done
0,see letter b car
0,anything lor u decide
0,hello hows saturday go texting see youd decided anything tomo im trying invite anything
0,pls go ahead watt wanted sure great weekend abiola
0,forget tell want need crave love sweet arabian steed mmmmmm yummy
1,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow
0,seeing
0,great hope like man well endowed ltgt inch
0,callsmessagesmissed call
0,didnt get hep b immunisation nigeria
0,fair enough anything going
0,yeah hopefully tyler cant could maybe ask around bit
0,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospital weak sucker
0,thinked first time saw class
0,gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt
0,k fyi x ride early tomorrow morning he crashing place tonight
0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
0,know mallika sherawat yesterday find lturlgt
1,congrats year special cinema pas call c suprman v matrix starwars etc free bxipwe pm dont miss
0,sorry ill call later meeting
0,tell reached
0,yesgauti sehwag odi series
0,gon na pick burger way home cant even move pain killing
0,ha ha ha good joke girl situation seeker
0,part checking iq
0,sorry roommate took forever ok come
0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
1,valued customer pleased advise following recent review mob awarded bonus prize call
0,today song dedicated day song u dedicate send ur valuable frnds first rply
1,urgent ur awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt l aj
1,hear new divorce barbie come ken stuff
0,plane give month end
0,wah lucky man save money hee
0,finished class
0,hi babe im home wan na something xx
0,kkwhere youhow performed
0,u call
0,waiting machan call free
0,thats cool gentleman treat dignity respect
0,like people much shy pa
0,operate ltgt
0,still looking job much ta earn
0,sorry ill call later
0,k call ah
0,ok way home hi hi
0,place man
0,yup next stop
0,call later dont network urgnt sm
0,real u getting yo need ticket one jacket im done already used multis
0,yes started send request make pain came back im back bed double coin factory got ta cash nitros
0,im really still tonight babe
0,ela kanoil download come wen ur free
0,yeah dont stand close tho youll catch something
0,sorry pain ok meet another night spent late afternoon casualty mean havent done stuffmoro includes time sheet sorry
0,smile pleasure smile pain smile trouble pours like rain smile sum hurt u smile becoz someone still love see u smiling
1,please call customer service representative ampm guaranteed cash prize
0,havent planning buy later check already lido got show e afternoon u finish work already
1,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw
0,watching telugu moviewat abt u
0,see finish load loan pay
0,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u
0,see cup coffee animation
0,please dont text anymore nothing else say
0,okay name ur price long legal wen pick u ave x am xx
0,im still looking car buy gone driving test yet
0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
0,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
0,umma life vava umma love lot dear
0,thanks lot wish birthday thanks making birthday truly memorable
0,aight ill hit get cash
0,would ip address test considering computer isnt minecraft server
0,know grumpy old people mom like better lying always one play joke
0,dont worry guess he busy
0,plural noun research
0,going dinnermsg
0,im ok wif co like try new thing scared u dun like mah co u said loud
1,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm
0,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
0,entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went
1,winner u specially selected receive holiday flight inc speak live operator claim pmin
0,goodo yes must speak friday eggpotato ratio tortilla needed
0,hmmmy uncle informed he paying school directly pls buy food
1,private account statement show unredeemed bonus point claim call identifier code expires
1,urgent mobile awarded bonus caller prize final try contact u call landline boxwrc ppm
